equipment_id,set_effect_id
equipment_5cb078f6eb9034bd6e82,set_cbaf91fdf39553d223a4
equipment_696246e8089c1af4c7ae,set_f2d9a69868c2c86725ae
equipment_fc6d12eb07bd55038e2e,set_884e02555ed5a640a62d
equipment_0ce28964a39cae9af336,set_884e02555ed5a640a62d
equipment_0bf5f6239fde81490bf5,set_884e02555ed5a640a62d
equipment_27cb375a326dde7eae73,set_cbaf91fdf39553d223a4
equipment_7fca272b61500ba6a6ba,set_cbaf91fdf39553d223a4
equipment_f45ec8a493d4afa469c6,set_884e02555ed5a640a62d
equipment_61901a39546f1d387620,set_884e02555ed5a640a62d
equipment_4777d36d24886ffbe386,set_884e02555ed5a640a62d
equipment_db8df66f1ce3d533e84f,set_884e02555ed5a640a62d
equipment_a4dfd6389d08a39ffd31,set_884e02555ed5a640a62d
equipment_f81629dae83d231e5d3b,set_884e02555ed5a640a62d
equipment_d341cdfbf358682dba39,set_884e02555ed5a640a62d
equipment_d5953a54cbb4f33c9c9c,set_00537e62979889809428
equipment_62fa010bcf6d438e6f6f,set_00537e62979889809428
equipment_a121174436b0d5d1f50e,set_cbaf91fdf39553d223a4
equipment_e37446761ae08c427ffa,set_f2d9a69868c2c86725ae
equipment_a3e51e82db4fab537bfb,set_f2d9a69868c2c86725ae
equipment_f58e66031361f1fed99d,set_00537e62979889809428
equipment_7f10fc424386b7f5836d,set_00537e62979889809428
equipment_5dd323baecaac34daa89,set_f2d9a69868c2c86725ae
equipment_1fa64aaaedbca814ced2,set_f2d9a69868c2c86725ae
equipment_9b477280be217e8a10ab,set_884e02555ed5a640a62d
