boss_id,name,difficulty,required_level,boss_type,description
boss_399ab42d09f06eb15187,Von Leon,Normal,170,boss,"rule_file: boss_requirements_verified.csv boss: Von Leon difficulty: Normal minimum level: 125, recommended level: 170 required force: arcane 0, sacred 0 combat power: minimum 1500000, recommended 3000000 main stat: minimum 8000, recommended 12000 damage stats: boss damage 100, ignore defense 70, cr..."
boss_766aab6548ca66b1ae03,Magnus,Easy,150,boss,"rule_file: boss_requirements_verified.csv boss: Magnus difficulty: Easy minimum level: 115, recommended level: 150 required force: arcane 0, sacred 0 combat power: minimum 800000, recommended 2000000 main stat: minimum 6000, recommended 10000 damage stats: boss damage 70, ignore defense 60, critical..."
boss_87eb7ebc024b9df7d603,Magnus,Normal,190,boss,"rule_file: boss_requirements_verified.csv boss: Magnus difficulty: Normal minimum level: 155, recommended level: 190 required force: arcane 0, sacred 0 combat power: minimum 4000000, recommended 9000000 main stat: minimum 14000, recommended 20000 damage stats: boss damage 150, ignore defense 80, cri..."
boss_8a2ac9c5fcdc482d7aa9,Magnus,Hard,220,boss,"rule_file: boss_requirements_verified.csv boss: Magnus difficulty: Hard minimum level: 175, recommended level: 220 required force: arcane 0, sacred 0 combat power: minimum 12000000, recommended 25000000 main stat: minimum 22000, recommended 32000 damage stats: boss damage 200, ignore defense 88, cri..."
boss_1d0e4f76a7719923ed7a,Von Bon,Chaos,210,boss,"rule_file: boss_requirements_verified.csv boss: Von Bon difficulty: Chaos minimum level: 180, recommended level: 210 required force: arcane 0, sacred 0 combat power: minimum 8000000, recommended 16000000 main stat: minimum 18000, recommended 26000 damage stats: boss damage 180, ignore defense 85, cr..."
boss_73fc760a7e2d5b1d4342,Pierre,Chaos,210,boss,"rule_file: boss_requirements_verified.csv boss: Pierre difficulty: Chaos minimum level: 180, recommended level: 210 required force: arcane 0, sacred 0 combat power: minimum 8000000, recommended 16000000 main stat: minimum 18000, recommended 26000 damage stats: boss damage 180, ignore defense 85, cri..."
boss_b6bc57fb66e2defbcf99,Crimson Queen,Chaos,210,boss,"rule_file: boss_requirements_verified.csv boss: Crimson Queen difficulty: Chaos minimum level: 180, recommended level: 210 required force: arcane 0, sacred 0 combat power: minimum 8000000, recommended 16000000 main stat: minimum 18000, recommended 26000 damage stats: boss damage 180, ignore defense..."
boss_454a494fb98ddb0b293f,Vellum,Chaos,220,boss,"rule_file: boss_requirements_verified.csv boss: Vellum difficulty: Chaos minimum level: 180, recommended level: 220 required force: arcane 0, sacred 0 combat power: minimum 12000000, recommended 25000000 main stat: minimum 22000, recommended 32000 damage stats: boss damage 200, ignore defense 88, cr..."
boss_3a77c98d63a4a6d05c6f,Akechi Mitsuhide,Normal,220,boss,"rule_file: boss_requirements_verified.csv boss: Akechi Mitsuhide difficulty: Normal minimum level: 200, recommended level: 220 required force: arcane 0, sacred 0 combat power: minimum 12000000, recommended 25000000 main stat: minimum 22000, recommended 32000 damage stats: boss damage 200, ignore def..."
boss_560afaf42585696f12e9,Lotus,Normal,220,boss,"rule_file: boss_requirements_verified.csv boss: Lotus difficulty: Normal minimum level: 190, recommended level: 220 required force: arcane 0, sacred 0 combat power: minimum 15000000, recommended 30000000 main stat: minimum 24000, recommended 34000 damage stats: boss damage 200, ignore defense 88, cr..."
boss_4cff415747643b5aa4da,Damien,Normal,220,boss,"rule_file: boss_requirements_verified.csv boss: Damien difficulty: Normal minimum level: 190, recommended level: 220 required force: arcane 0, sacred 0 combat power: minimum 15000000, recommended 30000000 main stat: minimum 24000, recommended 34000 damage stats: boss damage 200, ignore defense 88, c..."
boss_7a00ea60d384377541df,Lucid,Easy,225,boss,"rule_file: boss_requirements_verified.csv boss: Lucid difficulty: Easy minimum level: 220, recommended level: 225 required force: arcane 360, sacred 0 combat power: minimum 25000000, recommended 45000000 main stat: minimum 28000, recommended 38000 damage stats: boss damage 220, ignore defense 90, cr..."
boss_a890cdfe7f81046a7892,Lucid,Normal,230,boss,"rule_file: boss_requirements_verified.csv boss: Lucid difficulty: Normal minimum level: 220, recommended level: 230 required force: arcane 360, sacred 0 combat power: minimum 40000000, recommended 70000000 main stat: minimum 35000, recommended 50000 damage stats: boss damage 250, ignore defense 92,..."
boss_b1ca581461528064bfdd,Lucid,Hard,250,boss,"rule_file: boss_requirements_verified.csv boss: Lucid difficulty: Hard minimum level: 220, recommended level: 250 required force: arcane 360, sacred 0 combat power: minimum 90000000, recommended 150000000 main stat: minimum 50000, recommended 70000 damage stats: boss damage 300, ignore defense 94, c..."
boss_049cce59d0f4517943f0,Will,Easy,240,boss,"rule_file: boss_requirements_verified.csv boss: Will difficulty: Easy minimum level: 235, recommended level: 240 required force: arcane 560, sacred 0 combat power: minimum 35000000, recommended 60000000 main stat: minimum 33000, recommended 45000 damage stats: boss damage 240, ignore defense 91, cri..."
boss_d745ce0e34275d012dc9,Will,Normal,250,boss,"rule_file: boss_requirements_verified.csv boss: Will difficulty: Normal minimum level: 235, recommended level: 250 required force: arcane 560, sacred 0 combat power: minimum 60000000, recommended 100000000 main stat: minimum 45000, recommended 60000 damage stats: boss damage 280, ignore defense 93,..."
boss_e3a411803cbfd5903632,Will,Hard,260,boss,"rule_file: boss_requirements_verified.csv boss: Will difficulty: Hard minimum level: 235, recommended level: 260 required force: arcane 560, sacred 0 combat power: minimum 120000000, recommended 200000000 main stat: minimum 60000, recommended 85000 damage stats: boss damage 330, ignore defense 95, c..."
boss_4ee8243f0cb5d177d473,Gloom,Normal,255,boss,"rule_file: boss_requirements_verified.csv boss: Gloom difficulty: Normal minimum level: 245, recommended level: 255 required force: arcane 730, sacred 0 combat power: minimum 80000000, recommended 130000000 main stat: minimum 50000, recommended 70000 damage stats: boss damage 300, ignore defense 94,..."
boss_5506a157461b6e69fd32,Guard Captain Darknell,Normal,260,boss,"rule_file: boss_requirements_verified.csv boss: Guard Captain Darknell difficulty: Normal minimum level: 255, recommended level: 260 required force: arcane 850, sacred 0 combat power: minimum 100000000, recommended 160000000 main stat: minimum 55000, recommended 75000 damage stats: boss damage 320,..."
boss_bcf5ac0effc07e9de855,Verus Hilla,Normal,260,boss,"rule_file: boss_requirements_verified.csv boss: Verus Hilla difficulty: Normal minimum level: 250, recommended level: 260 required force: arcane 900, sacred 0 combat power: minimum 120000000, recommended 180000000 main stat: minimum 60000, recommended 80000 damage stats: boss damage 320, ignore defe..."
boss_8a41e30884b4bdd3df03,Black Mage,Hard,275,boss,"rule_file: boss_requirements_verified.csv boss: Black Mage difficulty: Hard minimum level: 255, recommended level: 275 required force: arcane 1320, sacred 0 combat power: minimum 250000000, recommended 400000000 main stat: minimum 80000, recommended 110000 damage stats: boss damage 350, ignore defen..."
boss_63a8d525a5a8d311f237,Seren,Normal,275,boss,"rule_file: boss_requirements_verified.csv boss: Seren difficulty: Normal minimum level: 260, recommended level: 275 required force: arcane 0, sacred 150 combat power: minimum 250000000, recommended 450000000 main stat: minimum 85000, recommended 120000 damage stats: boss damage 350, ignore defense 9..."
boss_3ee6c5444133b675d6f4,Kalos,Easy,275,boss,"rule_file: boss_requirements_verified.csv boss: Kalos difficulty: Easy minimum level: 265, recommended level: 275 required force: arcane 0, sacred 200 combat power: minimum 300000000, recommended 500000000 main stat: minimum 90000, recommended 130000 damage stats: boss damage 360, ignore defense 97,..."
boss_35e0a64d1cd10829fb95,Kaling,Easy,280,boss,"rule_file: boss_requirements_verified.csv boss: Kaling difficulty: Easy minimum level: 275, recommended level: 280 required force: arcane 0, sacred 230 combat power: minimum 400000000, recommended 650000000 main stat: minimum 100000, recommended 145000 damage stats: boss damage 380, ignore defense 9..."
boss_6ca35e35b7450382e47b,Limbo,Normal,285,boss,"rule_file: boss_requirements_verified.csv boss: Limbo difficulty: Normal minimum level: 285, recommended level: 285 required force: arcane 0, sacred 0 combat power: minimum 600000000, recommended 900000000 main stat: minimum 120000, recommended 170000 damage stats: boss damage 400, ignore defense 98..."
