equipment_id,name,part,slot,item_type,level_limit,set_name
equipment_682b790355f6d512d1a5,에테르넬 파이렛팬츠,하의,하의,equipment,250,에테르넬 세트
equipment_c65693f27f4d68f8a8f1,앱솔랩스 파이렛슈즈,신발,신발,equipment,160,앱솔랩스 세트
equipment_880293956b594309fe77,앱솔랩스 파이렛글러브,장갑,장갑,equipment,160,앱솔랩스 세트
equipment_6e6474a6ebe8a38dec6e,앱솔랩스 파이렛케이프,망토,망토,equipment,160,앱솔랩스 세트
equipment_93b49ef85dca8a4bfd78,아스트라 여우구슬,여우구슬,보조무기,equipment,200,
equipment_47702c5b8c12c4dd5958,제네시스 클로,너클,무기,equipment,200,
equipment_01308ea90aa7fc50234b,버서커의 마이스터 임모탈 링,반지,반지1,equipment,90,
equipment_5dc05a62271d39a5c8a8,어웨이크 링,반지,반지2,equipment,120,
equipment_9c089f0b31a6cfde9d6a,베어스 그린 펜던트,펜던트,펜던트,equipment,100,
equipment_2a8cd0688b8b31b9e28a,THE RED,훈장,훈장,equipment,0,
equipment_37811da88b36d5f19578,에테르넬 파이렛숄더,어깨장식,어깨장식,equipment,250,에테르넬 세트
equipment_3f016e28e52801a02a86,저주받은 적의 마도서,포켓 아이템,포켓 아이템,equipment,160,
equipment_dc37dea920ba5a238739,에테르넬 시프반다나,모자,모자,equipment,250,에테르넬 세트
equipment_38d28fede137f0febd11,에스텔라 이어링,귀고리,귀고리,equipment,160,
equipment_41f50c3a93db63eeeb94,에테르넬 시프셔츠,상의,상의,equipment,250,에테르넬 세트
equipment_0d3dfe230ea162e2ff26,에테르넬 시프팬츠,하의,하의,equipment,250,에테르넬 세트
equipment_5219f6baac4e4aa5efae,에테르넬 시프슈즈,신발,신발,equipment,250,에테르넬 세트
equipment_7298b890902846a24596,앱솔랩스 시프글러브,장갑,장갑,equipment,160,앱솔랩스 세트
equipment_5672416c2318e4887a6f,에테르넬 시프케이프,망토,망토,equipment,250,에테르넬 세트
equipment_f6bbf25e61240d6bdaf7,아스트라 카르트,카드,보조무기,equipment,200,
equipment_fb79bfbc06022e60bf62,제네시스 케인,케인,무기,equipment,200,
equipment_1110786527ef9fd32f97,테네브리스 원정대 반지,반지,반지1,equipment,120,
equipment_9bb4ffa105cce551eefe,결속의 반지,반지,반지2,equipment,120,
equipment_d477594fc5cc35efca01,카오스 링,반지,반지4,equipment,120,루타비스 세트
equipment_24e68dccfd802533c510,THE BLACK,훈장,훈장,equipment,0,
equipment_8a02bc7d4ccf275f56d6,에테르넬 시프숄더,어깨장식,어깨장식,equipment,250,에테르넬 세트
equipment_794af8c490fff304177a,골드 히어로즈 엠블렘,엠블렘,엠블렘,equipment,100,
equipment_c0a6b2c21c2ddb772b58,도미네이터 펜던트,펜던트,펜던트2,equipment,140,
equipment_499f09ef25b9005b2522,앱솔랩스 나이트헬름,모자,모자,equipment,160,앱솔랩스 세트
equipment_f8f05fb99160fc2e9976,마이스터 이어링,귀고리,귀고리,equipment,140,
equipment_297ee24a0c7b48870650,이글아이 워리어아머,상의,상의,equipment,150,
equipment_45bc92c81787fd58e573,트릭스터 워리어팬츠,하의,하의,equipment,150,
equipment_9eef35aac45f65a259b3,앱솔랩스 나이트슈즈,신발,신발,equipment,160,앱솔랩스 세트
equipment_12c48b01820d39022c4b,앱솔랩스 나이트글러브,장갑,장갑,equipment,160,앱솔랩스 세트
equipment_1d3b6440b2bed4eed7ca,앱솔랩스 나이트케이프,망토,망토,equipment,160,앱솔랩스 세트
equipment_51b69619628670fbb9a4,버츄스 메달,메달,보조무기,equipment,100,
equipment_d512654b3519ebb3ee5c,제네시스 투핸드소드,두손검,무기,equipment,200,
equipment_c5f122196cecc7cf4207,벤젼스 링,반지,반지1,equipment,120,
equipment_7b42f9dc641836c48127,테네브리스 원정대 반지,반지,반지2,equipment,120,
equipment_78da05b4648a1dca3f9f,데이브레이크 펜던트,펜던트,펜던트,equipment,140,
equipment_a8e938a689fd2a6e4b0e,타일런트 히아데스 벨트,벨트,벨트,equipment,150,
equipment_59b11ef2faab2fac734f,앱솔랩스 나이트숄더,어깨장식,어깨장식,equipment,160,앱솔랩스 세트
equipment_289949b50f0373c79662,미트라의 분노 : 전사,엠블렘,엠블렘,equipment,200,
equipment_e15e26eb89d640bb6dde,그리드 펜던트,펜던트,펜던트2,equipment,75,
equipment_ffd3857db82009d290d9,하이네스 워리어헬름,모자,모자,equipment,150,루타비스 세트
equipment_b47102380cddef8c2c90,샤이니 레드 워리어 마이스터 심볼,얼굴장식,얼굴장식,equipment,130,
equipment_459d0614bdaaef9c99c4,라이온하트 배틀브레이서,장갑,장갑,equipment,140,
equipment_7a622fe2411481b81fe0,노블 브레이슬릿,브레이슬릿,보조무기,equipment,100,
equipment_ce62f1be55f7e73ae5c0,제네시스 튜너,튜너,무기,equipment,200,
equipment_d8a14bdfd352eac69407,가디언의 마이스터 임모탈 링,반지,반지2,equipment,90,
equipment_6b442f74b9c4163e7865,스칼렛 링,반지,반지3,equipment,135,
equipment_99c80545b8ffb9983c31,에테르넬 나이트숄더,어깨장식,어깨장식,equipment,250,에테르넬 세트
equipment_d4b5aa19ffe9c423f988,티타늄 하트,기계 심장,기계 심장,equipment,100,
equipment_7b4c2b4b003a16c8e7b0,에테르넬 메이지슈즈,신발,신발,equipment,250,에테르넬 세트
equipment_0d5cc844e3bdaf679c61,에테르넬 메이지글러브,장갑,장갑,equipment,250,에테르넬 세트
equipment_55da4ed857f097ede049,에테르넬 메이지케이프,망토,망토,equipment,250,에테르넬 세트
equipment_3e00ac34446fe0daefc7,아스트라 아케인 실드,방패,보조무기,equipment,200,
equipment_dadec2949c335c9f5561,제네시스 스태프,스태프,무기,equipment,200,
equipment_f804eff2d7f445a4ad78,SS급 마스터 쥬얼링,반지,반지1,equipment,120,
equipment_9314865b6ca53157761b,버서커의 마이스터 임모탈 링,반지,반지2,equipment,90,
equipment_61517a3b8ad82c2b88c5,가디언의 마이스터 임모탈 링,반지,반지3,equipment,90,
equipment_445dd8e3514ed59fb066,카오스 벨룸 킬러,훈장,훈장,equipment,0,루타비스 세트
equipment_4d2ffba662504d89340a,에테르넬 메이지숄더,어깨장식,어깨장식,equipment,250,에테르넬 세트
equipment_59f5f02bf43617fff0d1,리튬 하트,기계 심장,기계 심장,equipment,30,
equipment_4dfc271d949f5649ebed,샤이니 레드 시프 마이스터 심볼,얼굴장식,얼굴장식,equipment,130,
equipment_5e9900d5e0659033b28c,앱솔랩스 시프슈즈,신발,신발,equipment,160,앱솔랩스 세트
equipment_d15f673222c9ea62ccc9,앱솔랩스 시프케이프,망토,망토,equipment,160,앱솔랩스 세트
equipment_08f1cc8d957c9d0ea456,파사부,부적,보조무기,equipment,100,
equipment_25898ee486405e4ef03f,제네시스 가즈,아대,무기,equipment,200,
equipment_76b64bd382c8729f3f51,글로리온 링 : 슈프림,반지,반지3,equipment,120,
equipment_3af12f2080ddd28f5ddc,메이플 대학교,훈장,훈장,equipment,0,
equipment_c16407c73e8bacda5c3f,분노한 자쿰의 벨트,벨트,벨트,equipment,150,
equipment_c138b0f926da02e97ad5,앱솔랩스 시프숄더,어깨장식,어깨장식,equipment,160,앱솔랩스 세트
equipment_b51d277ff7450ea54534,아케인셰이드 투핸드엑스,두손도끼,무기,equipment,200,아케인셰이드 세트
equipment_45fd58f16aa81693e668,어비스 헌터스 링,반지,반지1,equipment,130,
equipment_55056fd3eb1dfe6e944b,2024 싸전귀 레전드,훈장,훈장,equipment,0,
equipment_fdc648570935d1b19d88,핑크빛 성배,포켓 아이템,포켓 아이템,equipment,140,
equipment_c0d71ef19b3c769a7dd9,페어리 하트,기계 심장,기계 심장,equipment,100,
equipment_443bd43b00e593657760,하이네스 던위치햇,모자,모자,equipment,150,루타비스 세트
equipment_d2d07ea6c71fb5da65da,이글아이 던위치로브,상의,상의,equipment,150,
equipment_0064436c6c5a643eb8e5,트릭스터 던위치팬츠,하의,하의,equipment,150,
equipment_3d3767dd80200c05b1b3,아케인셰이드 메이지슈즈,신발,신발,equipment,200,아케인셰이드 세트
equipment_d501736d7dfdf64f1511,아케인셰이드 메이지글러브,장갑,장갑,equipment,200,아케인셰이드 세트
equipment_3c0f7ff9420bee92e965,아케인셰이드 메이지케이프,망토,망토,equipment,200,아케인셰이드 세트
equipment_06949a6ddb3352283ab2,☆메이프릴 아일랜드☆,훈장,훈장,equipment,0,
equipment_111fbdef45374c021614,아케인셰이드 메이지숄더,어깨장식,어깨장식,equipment,200,아케인셰이드 세트
equipment_d1ad25c49800f6147e71,가디언 엔젤 링,반지,반지2,equipment,160,
equipment_5aa07f4b61f85beb5408,어웨이크 링,반지,반지3,equipment,120,
equipment_9d2609635c7e46b849a5,글로리온 링 : 슈프림,반지,반지4,equipment,120,
equipment_fc303d7af3185c770d1e,에테르넬 파이렛슈즈,신발,신발,equipment,250,에테르넬 세트
equipment_871873398e954e82ac1d,에테르넬 파이렛글러브,장갑,장갑,equipment,250,에테르넬 세트
equipment_1e9c52cec9f866e9b070,에테르넬 파이렛케이프,망토,망토,equipment,250,에테르넬 세트
equipment_2ffb2014e571c5ddc1cd,아스트라 패스,패스 오브 어비스,보조무기,equipment,200,
equipment_5ce91ded41f22dfd18b9,데스티니 클로,너클,무기,equipment,250,
equipment_a57fd5fc3841d3113df0,거대한 공포,반지,반지4,equipment,200,
equipment_969db0d752d2380715f4,불멸의 유산,훈장,훈장,equipment,250,
equipment_9ba7092e2e4867e02ff1,아케인셰이드 나이트슈즈,신발,신발,equipment,200,아케인셰이드 세트
equipment_715a913ad18650518913,아케인셰이드 나이트글러브,장갑,장갑,equipment,200,아케인셰이드 세트
equipment_cbe27f97bdc89ca81680,아케인셰이드 나이트케이프,망토,망토,equipment,200,아케인셰이드 세트
equipment_105c5bc1186f6903520b,버서크 체인,쇠사슬,보조무기,equipment,100,
equipment_d56f6f89dcd49e0d101b,제네시스 스피어,창,무기,equipment,200,
equipment_9d8c4ebce127535fe008,아케인셰이드 나이트숄더,어깨장식,어깨장식,equipment,200,아케인셰이드 세트
equipment_27cd3b101eb367f9958f,피콕스 핑크 펜던트,펜던트,펜던트2,equipment,120,
equipment_d58cd064aeb05fbcfa20,아스트라 프로미넌트 실드,방패,보조무기,equipment,200,
equipment_d67d0c9a9294ed2b485a,데스티니 스태프,스태프,무기,equipment,250,
equipment_7f32a0b851125cfc21af,여명의 가디언 엔젤 링,반지,반지2,equipment,160,
equipment_3e008f4dfd6ad4d6ea1c,거대한 공포,반지,반지3,equipment,200,
equipment_2468e46145925f221142,샤이니 레드 매지션 마이스터 심볼,얼굴장식,얼굴장식,equipment,130,
equipment_49123c3bf1f5aa255ce7,백금의 서 <종장>,마도서,보조무기,equipment,100,
equipment_ccbc9a826b1c78f39588,마이스터 올마이티링,반지,반지4,equipment,75,
equipment_f6114194708a3755fdd1,타일런트 헤르메스 벨트,벨트,벨트,equipment,150,
equipment_5cb078f6eb9034bd6e82,하이네스 레인져베레,모자,모자,equipment,150,루타비스 세트
equipment_087ae9754e39c56c81ac,샤이니 레드 아처 마이스터 심볼,얼굴장식,얼굴장식,equipment,130,
equipment_2cbd3fe6211f1d836538,오션 글로우 이어링,귀고리,귀고리,equipment,150,
equipment_d7c847b5b75a1eb58ca2,이글아이 레인져후드,상의,상의,equipment,150,
equipment_31cbf4953ca5833acdb8,트릭스터 레인져팬츠,하의,하의,equipment,150,
equipment_696246e8089c1af4c7ae,아케인셰이드 아처글러브,장갑,장갑,equipment,200,아케인셰이드 세트
equipment_2c8d3874da9c14d9c743,에레브의 광휘,보석,보조무기,equipment,100,
equipment_0acdeee5e5399b8b7ecd,제네시스 보우,활,무기,equipment,200,
equipment_8d303a4d8d04b1760409,도미네이터 펜던트,펜던트,펜던트,equipment,140,
equipment_1fc2f3a2b673595bd3d0,정령의 펜던트,펜던트,펜던트2,equipment,0,
equipment_fc6d12eb07bd55038e2e,에테르넬 나이트헬름,모자,모자,equipment,250,에테르넬 세트
equipment_b1959904d50eab2d3a34,레드 워리어 마이스터 심볼,얼굴장식,얼굴장식,equipment,100,
equipment_0ce28964a39cae9af336,에테르넬 나이트아머,상의,상의,equipment,250,에테르넬 세트
equipment_0bf5f6239fde81490bf5,에테르넬 나이트팬츠,하의,하의,equipment,250,에테르넬 세트
equipment_63a8504cdf8ba35ad7fd,아스트라 체인,쇠사슬,보조무기,equipment,200,
equipment_ac8de347e046b18a8ed7,마이스터링,반지,반지1,equipment,140,
equipment_6ff2032805859a81d0c5,마이스터 올마이티링,반지,반지3,equipment,75,
equipment_cb9ce6072a5c076e9b37,드래곤마스터의 유산,문서,보조무기,equipment,100,
equipment_44b33a55e3898f986f98,컨티뉴어스 링,반지,반지1,equipment,110,
equipment_2822abf69ee6e31d7e9b,웨폰퍼프 - I링,반지,예비 특수 반지,equipment,110,
equipment_d2170bba4d3b4f0ba670,아스트라 백호추,무게추,보조무기,equipment,200,
equipment_59521cf022e5f0f7103b,제네시스 폴암,폴암,무기,equipment,200,
equipment_65b8543ff9efcfb30593,벤젼스 링,반지,반지3,equipment,120,
equipment_70fb8957cf05773a21cf,청은의 서 <종장>,마도서,보조무기,equipment,100,
equipment_96d6301a24c3cc25023f,마이스터 올마이티링,반지,반지2,equipment,75,
equipment_e4cc58747b895b951aa3,버서커의 마이스터 임모탈 링,반지,반지4,equipment,90,
equipment_4fd94fa9c860deb1b8a6,데이모스 세이지 실드,방패,보조무기,equipment,130,
equipment_27cb375a326dde7eae73,카오스 링,반지,반지1,equipment,120,루타비스 세트
equipment_28f86b63e8b3db64b5a5,벤젼스 링,반지,반지4,equipment,120,
equipment_719c2df6d007fe9a41c8,아스트라 림리스,화약통,보조무기,equipment,200,
equipment_69536ea9a9de55c85e2a,데스티니 블래스트캐논,핸드캐논,무기,equipment,250,
equipment_c5d38b5f896f9407c016,체스피스 디 퀸,체스피스,보조무기,equipment,100,
equipment_74da6dc373a865a3d936,데스티니 ESP리미터,ESP 리미터,무기,equipment,250,
equipment_df4dc26f9407f76c2331,실버블라썸 링,반지,반지2,equipment,110,
equipment_7fca272b61500ba6a6ba,카오스 링,반지,반지3,equipment,120,루타비스 세트
equipment_811829b9652e9d8c6a25,글로리온 링 : 가디언,반지,반지1,equipment,120,
equipment_6aeb5e049b79c9885fbc,어웨이크 링,반지,반지4,equipment,120,
equipment_e0c73b49da98ab16aef0,미트라의 분노 : 도적,엠블렘,엠블렘,equipment,200,
equipment_24f2e1735f0137ac6de0,글로리온 링 : 가디언,반지,반지2,equipment,120,
equipment_4a395088755f86bd1327,아쿠아틱 레터 눈장식,눈장식,눈장식,equipment,100,
equipment_88ae262bb410542ceb38,테네브리스 원정대 반지,반지,반지4,equipment,120,
equipment_a2556290eb2039d28dfa,빅토리아컵,훈장,훈장,equipment,0,
equipment_e8a77b5702f20e7a8d27,골든 클로버 벨트,벨트,벨트,equipment,140,
equipment_68f01270369e8854ddb9,리스트레인트 링,반지,예비 특수 반지,equipment,110,
equipment_97f4a9ec425209939a0d,레드 파이렛 마이스터 심볼,얼굴장식,얼굴장식,equipment,100,
equipment_70f0c9be98bfd6295cd5,아스트라 사파이어,보석,보조무기,equipment,200,
equipment_b14663b702b8046a6fcc,글로리온 링 : 슈프림,반지,반지1,equipment,120,
equipment_79ce2dff017a8fd71c18,제네시스 라피스,대검,보조무기,equipment,200,
equipment_2d528e48d3f6c1c19d56,제네시스 라즐리,태도,무기,equipment,200,
equipment_a0c06a0d46f899e9431a,이터널 타임 엠블렘,엠블렘,엠블렘,equipment,100,
equipment_f45ec8a493d4afa469c6,에테르넬 아처슈즈,신발,신발,equipment,250,에테르넬 세트
equipment_61901a39546f1d387620,에테르넬 아처케이프,망토,망토,equipment,250,에테르넬 세트
equipment_71d09fc146ffdd272955,이볼빙 블라스트 페더,화살깃,보조무기,equipment,100,
equipment_c7419a6cb2bf5e0c93d9,데스티니 보우,활,무기,equipment,250,
equipment_4777d36d24886ffbe386,에테르넬 아처숄더,어깨장식,어깨장식,equipment,250,에테르넬 세트
equipment_db8df66f1ce3d533e84f,에테르넬 시프글러브,장갑,장갑,equipment,250,에테르넬 세트
equipment_95ca39de08e5b12b9972,아스트라 트랜스미터,무기 전송장치,보조무기,equipment,200,
equipment_451ee9686cc9fbe5801e,제네시스 체인,체인,무기,equipment,200,
equipment_59f7c3188907f2cdcef2,데스티니 라피스,대검,보조무기,equipment,250,
equipment_d62f69844bbd0a1f0b3b,데스티니 라즐리,태도,무기,equipment,250,
equipment_805ff969bb52ab1ee672,벤젼스 링,반지,반지2,equipment,120,
equipment_0d91d1c521de0fa81932,테네브리스 원정대 반지,반지,반지3,equipment,120,
equipment_4fd778b6083044fbfa36,결속의 반지,반지,반지4,equipment,120,
equipment_a4dfd6389d08a39ffd31,에테르넬 나이트슈즈,신발,신발,equipment,250,에테르넬 세트
equipment_f81629dae83d231e5d3b,에테르넬 나이트글러브,장갑,장갑,equipment,250,에테르넬 세트
equipment_d341cdfbf358682dba39,에테르넬 나이트케이프,망토,망토,equipment,250,에테르넬 세트
equipment_64fa23533e002945116a,아스트라 메달,메달,보조무기,equipment,200,
equipment_6eeb13382aa888ef32bf,제네시스 투핸드엑스,두손도끼,무기,equipment,200,
equipment_72608480e9afdd8c92eb,골드 나이트 엠블렘,엠블렘,엠블렘,equipment,100,
equipment_d5953a54cbb4f33c9c9c,앱솔랩스 시프캡,모자,모자,equipment,160,앱솔랩스 세트
equipment_52ede615ab5f04654ad5,월장석 선추,선추,보조무기,equipment,100,
equipment_ec7ae2f8c8c8b24449c2,제네시스 창세선,부채,무기,equipment,200,
equipment_1dd9effa227fea7f782c,타일런트 리카온 벨트,벨트,벨트,equipment,150,
equipment_455c7f7e5578fe74f04b,금빛 천지인 엠블렘,엠블렘,엠블렘,equipment,100,
equipment_4661543d400b6343b3fc,가디언의 마이스터 임모탈 링,반지,반지1,equipment,90,
equipment_208a1275ffb25fc024c6,코스모스 링,반지,반지3,equipment,120,
equipment_2c57494e252c14a2fe38,데스티니 폴암,폴암,무기,equipment,250,
equipment_b0d89a0ba7291bcfecc2,아스트라 매그넘,매그넘,보조무기,equipment,200,
equipment_0d96df720db7456a8f9b,데스티니 피스톨,건,무기,equipment,250,
equipment_e2c642516a5112ee5dc2,샤이니 레드 파이렛 마이스터 심볼,얼굴장식,얼굴장식,equipment,130,
equipment_08423b5c240dda249602,튼튼한 기계 장갑,장갑,장갑,equipment,90,
equipment_23328c83960f6fa07669,메이플 트레져 리스트아머,리스트밴드,보조무기,equipment,110,
equipment_13ba3cbb725a04e0ba3f,타일런트 알테어 벨트,벨트,벨트,equipment,150,
equipment_62fa010bcf6d438e6f6f,앱솔랩스 파이렛숄더,어깨장식,어깨장식,equipment,160,앱솔랩스 세트
equipment_31438169ba6574cf5b5f,매커네이터 펜던트,펜던트,펜던트2,equipment,120,
equipment_8cbd48d8487cbab2b6f8,버서커의 마이스터 임모탈 링,반지,반지3,equipment,90,
equipment_de82d00fcd71123e92d5,베어스 그린 펜던트,펜던트,펜던트2,equipment,100,
equipment_d049c5441d8eef2429ad,아스트라 토파즈,보석,보조무기,equipment,200,
equipment_96be33476ca5086de81b,데스티니 투핸드소드,두손검,무기,equipment,250,
equipment_e8e24849618ca6550a0e,이터널 플레임 링,반지,반지1,equipment,120,
equipment_3c9cc8c88697bf0cd5cc,혼테일의 목걸이,펜던트,펜던트,equipment,120,
equipment_7bc460bc2f2a724dda21,리스트레인트 링,반지,반지3,equipment,110,
equipment_a121174436b0d5d1f50e,카오스 핑크빈 마크,눈장식,눈장식,equipment,135,루타비스 세트
equipment_e37446761ae08c427ffa,아케인셰이드 블레이드,블레이드,보조무기,equipment,200,아케인셰이드 세트
equipment_f5b97e594f0eb9583cac,데스티니 대거,단검,무기,equipment,250,
equipment_7d1e467b83b67e9859d8,SS급 마스터 쥬얼링,반지,반지2,equipment,120,
equipment_81baf62002aa60a3f171,가디언의 마이스터 임모탈 링,반지,반지4,equipment,90,
