user_input,reference_contexts,reference,persona_name,query_style,query_length
패스파인더 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 패스파인더가 궁수 직업군이며 main_stat 값이 DEX로 적재되어 있다.""]",패스파인더는 궁수 직업군이고 주스탯은 DEX이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
메카닉 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 메카닉이 해적 직업군이며 main_stat 값이 DEX로 적재되어 있다.""]",메카닉은 해적 직업군이고 주스탯은 DEX이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
노멀 스우 level main_stat boss_damage ignore_def 요구 스펙은?,"[""Neo4j stat_requirements seed에는 노멀 스우가 level 220, main_stat 15000, arcane_force 0, boss_damage 150, ignore_def 85, authentic_force 0, confidence draft로 적재되어 있다.""]","노멀 스우 요구 스펙 초안은 레벨 220, 주스탯 15000, 보스 데미지 150, 방어율 무시 85, 아케인포스 0, 어센틱포스 0이며 confidence는 draft이다.",Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
노멀 데미안 level main_stat boss_damage ignore_def 요구 스펙은?,"[""Neo4j stat_requirements seed에는 노멀 데미안이 level 220, main_stat 15000, arcane_force 0, boss_damage 150, ignore_def 85, authentic_force 0, confidence draft로 적재되어 있다.""]","노멀 데미안 요구 스펙 초안은 레벨 220, 주스탯 15000, 보스 데미지 150, 방어율 무시 85, 아케인포스 0, 어센틱포스 0이며 confidence는 draft이다.",Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
노멀 루시드 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?,"[""Neo4j stat_requirements seed에는 노멀 루시드가 level 235, main_stat 25000, arcane_force 360, boss_damage 200, ignore_def 90, authentic_force 0, confidence draft로 적재되어 있다.""]","노멀 루시드 요구 스펙 초안은 레벨 235, 주스탯 25000, 아케인포스 360, 보스 데미지 200, 방어율 무시 90, 어센틱포스 0이며 confidence는 draft이다.",Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
노멀 윌 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?,"[""Neo4j stat_requirements seed에는 노멀 윌이 level 235, main_stat 28000, arcane_force 760, boss_damage 220, ignore_def 90, authentic_force 0, confidence draft로 적재되어 있다.""]","노멀 윌 요구 스펙 초안은 레벨 235, 주스탯 28000, 아케인포스 760, 보스 데미지 220, 방어율 무시 90, 어센틱포스 0이며 confidence는 draft이다.",Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
하드 루시드 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?,"[""Neo4j stat_requirements seed에는 하드 루시드가 level 250, main_stat 50000, arcane_force 360, boss_damage 300, ignore_def 93, authentic_force 0, confidence draft로 적재되어 있다.""]","하드 루시드 요구 스펙 초안은 레벨 250, 주스탯 50000, 아케인포스 360, 보스 데미지 300, 방어율 무시 93, 어센틱포스 0이며 confidence는 draft이다.",Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
하드 윌 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?,"[""Neo4j stat_requirements seed에는 하드 윌이 level 250, main_stat 55000, arcane_force 760, boss_damage 320, ignore_def 93, authentic_force 0, confidence draft로 적재되어 있다.""]","하드 윌 요구 스펙 초안은 레벨 250, 주스탯 55000, 아케인포스 760, 보스 데미지 320, 방어율 무시 93, 어센틱포스 0이며 confidence는 draft이다.",Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
진 힐라 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?,"[""Neo4j stat_requirements seed에는 진 힐라가 level 250, main_stat 65000, arcane_force 900, boss_damage 350, ignore_def 94, authentic_force 0, confidence draft로 적재되어 있다.""]","진 힐라 요구 스펙 초안은 레벨 250, 주스탯 65000, 아케인포스 900, 보스 데미지 350, 방어율 무시 94, 어센틱포스 0이며 confidence는 draft이다.",Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
검은 마법사 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?,"[""Neo4j stat_requirements seed에는 검은 마법사가 level 255, main_stat 90000, arcane_force 1320, boss_damage 400, ignore_def 95, authentic_force 0, confidence draft로 적재되어 있다.""]","검은 마법사 요구 스펙 초안은 레벨 255, 주스탯 90000, 아케인포스 1320, 보스 데미지 400, 방어율 무시 95, 어센틱포스 0이며 confidence는 draft이다.",Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
