active_for_matching,boss_name,difficulty,entry_level,required_level,required_combat_power,required_main_stat,required_attack_power,required_magic_power,required_boss_damage,required_ignore_def,required_crit_rate,required_crit_damage,required_final_damage,required_arcane_force,required_authentic_force,required_starforce,required_union_level,required_mulung_floor,legacy_stat_attack_cut,cut_basis,source_name,source_url,reliability,notes
true,카오스 혼테일,CHAOS,135,160,400000,4500,450,450,60,70,80,10,0,,,0,0,,600000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,노멀 피에르,NORMAL,125,120,100000,1800,250,250,30,0,60,5,0,,,0,0,,150000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,normal root abyss low threshold
true,카오스 피에르,CHAOS,180,190,3000000,12000,1200,1200,190,85,90,30,0,,,70,4000,35,1500000,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;Easygoingway_2023;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://easygoingway.tistory.com/757|https://metdori.tistory.com/13,MEDIUM_DERIVED,CRA estimate follows 12000 main stat 140 boss damage 85 IED baseline and current combat power cut
true,노멀 반반,NORMAL,125,120,100000,1800,250,250,30,0,60,5,0,,,0,0,,150000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,normal root abyss low threshold
true,카오스 반반,CHAOS,180,190,3000000,12000,1200,1200,190,85,90,30,0,,,70,4000,35,1500000,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;Easygoingway_2023;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://easygoingway.tistory.com/757|https://metdori.tistory.com/13,MEDIUM_DERIVED,CRA estimate follows 12000 main stat 140 boss damage 85 IED baseline and current combat power cut
true,노멀 블러디 퀸,NORMAL,125,120,100000,1800,250,250,30,0,60,5,0,,,0,0,,150000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,normal root abyss low threshold
true,카오스 블러디 퀸,CHAOS,180,190,3000000,12000,1200,1200,190,85,90,30,0,,,70,4000,35,1500000,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;Easygoingway_2023;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://easygoingway.tistory.com/757|https://metdori.tistory.com/13,MEDIUM_DERIVED,CRA estimate follows 12000 main stat 140 boss damage 85 IED baseline and current combat power cut
true,노멀 벨룸,NORMAL,125,130,150000,2500,250,250,30,0,60,5,0,,,0,0,,200000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,normal root abyss low threshold
true,카오스 벨룸,CHAOS,180,190,5000000,16000,1600,1600,190,87,100,35,0,,,100,4000,36,2000000,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;Lynfley_CVel;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://lynfley.com/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC-%EC%B9%B4%EC%98%A4%EC%8A%A4-%EB%B2%A8%EB%A3%B8-%EB%B3%B4%EC%8A%A4-%EB%AA%AC%EC%8A%A4%ED%84%B0-%EA%B3%B5%EB%9E%B5/|https://metdori.tistory.com/13,MEDIUM_DERIVED,chaos vellum uses 200 percent defense and 85 plus IED guidance
true,이지 반 레온,EASY,125,120,300000,3500,450,450,60,70,80,10,0,,,0,0,,150000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,노멀 반 레온,NORMAL,125,129,100000,1800,250,250,30,0,60,5,0,,,0,0,,400000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,하드 반 레온,HARD,125,150,300000,3500,450,450,60,70,80,10,0,,,0,0,,700000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,이지 아카이럼,EASY,140,130,150000,2500,250,250,30,0,60,5,0,,,0,0,,250000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,노멀 아카이럼,NORMAL,140,170,300000,3500,450,450,60,70,80,10,0,,,0,0,,800000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,노멀 카웅,NORMAL,180,180,400000,4500,450,450,60,70,80,10,0,,,0,0,,,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,Korean name for OMNI CLN
true,노멀 핑크빈,NORMAL,140,180,400000,4500,450,450,60,70,80,10,0,,,0,0,,600000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,카오스 핑크빈,CHAOS,170,190,1600000,9500,900,900,150,80,90,20,0,,,70,2000,32,1500000,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;Easygoingway_2023;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://easygoingway.tistory.com/757|https://metdori.tistory.com/13,MEDIUM_DERIVED,source explicitly mentions boss damage and IED in older stat attack context
true,이지 시그너스,EASY,165,140,400000,4500,450,450,60,70,80,10,0,,,0,0,,,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,entry level differs by source
true,노멀 시그너스,NORMAL,165,190,600000,5500,700,700,100,80,80,15,0,,,0,2000,32,1500000,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;Easygoingway_2023;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://easygoingway.tistory.com/757|https://metdori.tistory.com/13,MEDIUM_DERIVED,sub CRA bossing tier estimate
true,하드 시그너스,HARD,165,190,600000,5500,700,700,100,80,80,15,0,,,0,2000,32,1500000,alias_cut+derived_detail_stats,Loat_2025;Inven_2025;Easygoingway_2023;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://easygoingway.tistory.com/757|https://metdori.tistory.com/13,LOW_DERIVED,unofficial alias for users who ask hard Cygnus
true,노멀 스우,NORMAL,190,210,7000000,18000,1600,1600,220,94,100,35,0,,,100,6000,42,,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;MaplerHouse;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://www.maplerhouse.com/en/guide/boss/boss-overview|https://metdori.tistory.com/13,MEDIUM_DERIVED,MaplerHouse gives 300 percent defense
true,하드 스우,HARD,190,210,19000000,26000,2200,2200,240,95,100,45,0,,,120,6000,52,,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;MaplerHouse;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://www.maplerhouse.com/en/guide/boss/boss-overview|https://metdori.tistory.com/13,MEDIUM_DERIVED,MaplerHouse gives 300 percent defense
true,익스트림 스우,EXTREME,190,285,340000000,82000,6500,6500,420,95,100,100,0,,,220,8500,,,combat_power_min_cut+derived_detail_stats,Loat_2025;MaplerHouse;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.maplerhouse.com/en/guide/boss/boss-overview|https://metdori.tistory.com/13,MEDIUM_DERIVED,high variance endgame estimate
true,노멀 데미안,NORMAL,190,210,8000000,18000,1600,1600,220,94,100,35,0,,,100,6000,42,3800000,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;MaplerHouse;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://www.maplerhouse.com/en/guide/boss/boss-overview|https://metdori.tistory.com/13,MEDIUM_DERIVED,MaplerHouse gives 300 percent defense
true,하드 데미안,HARD,190,210,20000000,26000,2200,2200,240,95,100,45,0,,,150,6000,52,,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;MaplerHouse;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://www.maplerhouse.com/en/guide/boss/boss-overview|https://metdori.tistory.com/13,MEDIUM_DERIVED,MaplerHouse gives 300 percent defense
true,노멀 가디언 엔젤 슬라임,NORMAL,210,220,8000000,18000,1600,1600,220,94,100,35,0,,,100,6000,45,,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;MaplerHouse;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://www.maplerhouse.com/en/guide/boss/boss-overview|https://metdori.tistory.com/13,MEDIUM_DERIVED,MaplerHouse gives 300 percent defense
true,카오스 가디언 엔젤 슬라임,CHAOS,210,250,40000000,36000,3000,3000,280,95,100,60,0,,,150,8000,59,,combat_power_min_cut+derived_detail_stats,Loat_2025;MaplerHouse;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.maplerhouse.com/en/guide/boss/boss-overview|https://metdori.tistory.com/13,MEDIUM_DERIVED,chaos slime uses 300 percent defense tier
true,이지 루시드,EASY,220,230,12000000,22000,2200,2200,220,94,100,45,0,360,,120,6000,47,,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;MaplerHouse;MatsuForce;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://www.maplerhouse.com/en/guide/boss/boss-overview|https://matsu1207.tistory.com/771|https://metdori.tistory.com/13,MEDIUM_DERIVED,arcane force and 300 percent defense included
true,노멀 루시드,NORMAL,220,230,20000000,26000,2200,2200,240,94,100,45,0,360,,150,6000,51,,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;MaplerHouse;MatsuForce;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://www.maplerhouse.com/en/guide/boss/boss-overview|https://matsu1207.tistory.com/771|https://metdori.tistory.com/13,MEDIUM_DERIVED,arcane force and 300 percent defense included
